transcript_id,HBR_Rep1_ERCC-Mix2,HBR_Rep2_ERCC-Mix2,HBR_Rep3_ERCC-Mix2,UHR_Rep1_ERCC-Mix1,UHR_Rep2_ERCC-Mix1,UHR_Rep3_ERCC-Mix1
ENST00000652537,0,0,0,0,0,0
ENST00000676809,0,0,0,0,0,0
ENST00000650790,0,0,0,0,0,0
ENST00000652657,0,0,0,0,0,0
ENST00000676912,0,0,0,0,0,0
ENST00000677686,0,0,0,0,0,0
ENST00000652389,0,0,0,0,0,0
ENST00000677545,0,0,0,0,0,0
ENST00000678430,0,0,0,0,0,0
ENST00000676551,0,0,0,0,0,0
ENST00000331710,0,0,0,0,0,0
ENST00000650997,0,0,0,0,0,0
ENST00000651262,0,0,0,0,0,0
ENST00000677632,0,0,0,0,0,0
ENST00000678180,0,0,0,0,0,0
ENST00000679065,0,0,0,0,0,0
ENST00000651947,0,0,0,0,0,0
ENST00000650762,0,0,0,0,0,0
ENST00000676930,0,0,0,0,0,0
ENST00000650786,0,0,0,0,0,0
ENST00000677831,0,0,0,0,0,0
ENST00000651014,0,0,0,0,0,0
ENST00000677549,0,0,0,0,0,0
ENST00000970119,0,0,0,0,0,0
ENST00000911930,0,0,0,0,0,0
ENST00000538890,0,0,0,0,0,0
ENST00000651878,0,0,0,0,0,0
ENST00000540417,0,0,0,0,0,0
ENST00000678368,0,0,0,0,0,0
ENST00000539810,0,0,0,0,0,0
ENST00000676469,0,0,0,0,0,0
ENST00000678197,0,0,0,0,0,0
ENST00000679050,0,0,0,0,0,0
ENST00000650708,0,0,0,0,0,0
ENST00000676901,0,0,0,0,0,0
ENST00000678079,0,0,0,0,0,0
ENST00000677759,0,0,0,0,0,0
ENST00000679302,0,0,0,0,0,0
ENST00000651889,0,0,0,0,0,0
ENST00000677016,0,0,0,0,0,0
ENST00000677112,0,0,0,0,0,0
ENST00000678738,0,0,0,0,0,0
ENST00000678808,0,0,0,0,0,0
ENST00000677973,0,0,0,0,0,0
ENST00000677242,0,0,0,0,0,0
ENST00000678718,0,0,0,0,0,0
ENST00000676983,0,0,0,0,0,0
ENST00000677670,0,0,0,0,0,0
ENST00000678235,0,0,0,0,0,0
ENST00000545025,0,0,0,0,0,0
ENST00000677858,0,0,0,0,0,0
ENST00000676490,0,0,0,0,0,0
ENST00000536906,0,0,0,0,0,0
ENST00000676539,0,0,0,0,0,0
ENST00000676774,0,0,0,0,0,0
ENST00000678582,0,0,0,0,0,0
ENST00000679010,0,0,0,0,0,0
ENST00000677435,0,0,0,0,0,0
ENST00000678567,0,0,0,0,0,0
ENST00000676587,0,0,0,0,0,0
ENST00000677714,0,0,0,0,0,0
ENST00000541805,0,0,0,0,0,0
ENST00000545392,0,0,0,0,0,0
ENST00000678996,0,0,0,0,0,0
ENST00000676521,0,0,0,0,0,0
ENST00000678125,0,0,0,0,0,0
ENST00000676593,0,0,0,0,0,0
ENST00000677313,0,0,0,0,0,0
ENST00000677093,0,0,0,0,0,0
ENST00000678992,0,0,0,0,0,0
ENST00000637125,0,0,0,0,0,0
ENST00000541885,0,0,0,0,0,0
ENST00000636333,0,0,0,0,0,0
ENST00000411362,0,0,0,0,0,0
ENST00000838109,0,0,0,0,0,0
ENST00000546135,0,0,0,0,0,0
ENST00000951679,0,0,0,0,0,0
ENST00000951680,0,0,0,0,0,0
ENST00000899845,0,0,0,0,0,0
ENST00000542104,0,0,0,0,0,0
ENST00000283172,0,0,0,0,0,0
ENST00000540088,0,0,0,0,0,0
ENST00000384815,0,0,0,0,0,0
ENST00000584743,0,0,0,0,0,0
ENST00000444853,0,0,0,0,0,0
ENST00000545821,0,0,0,0,0,0
ENST00000751283,0,0,0,0,0,0
ENST00000623666,0,0,0,0,0,0
ENST00000545001,10,12,2,2,7,3
ENST00000834341,0,0,0,0,0,0
ENST00000834435,0,0,0,0,0,0
ENST00000834413,0,0,0,0,0,0
ENST00000834400,0,0,0,0,0,0
ENST00000549484,0,0,0,0,0,0
ENST00000834342,0,0,0,0,0,0
ENST00000834340,0,0,0,0,0,0
ENST00000834343,0,0,0,0,0,0
ENST00000834348,0,0,0,0,0,0
ENST00000834436,0,0,0,0,0,0
ENST00000834437,0,0,0,0,0,0
ENST00000834349,0,0,0,0,0,0
ENST00000834359,0,0,0,2,4,0
ENST00000834439,0,0,0,1,0,4
ENST00000834350,0,0,0,0,0,0
ENST00000834351,0,0,0,0,0,0
ENST00000834352,0,0,0,0,0,0
ENST00000834353,0,0,0,0,0,0
ENST00000834457,0,0,0,0,0,0
ENST00000834361,0,0,0,0,0,0
ENST00000834440,0,0,0,0,0,0
ENST00000547220,0,0,0,0,0,0
