gene_id,HBR_Rep1_ERCC-Mix2,HBR_Rep2_ERCC-Mix2,HBR_Rep3_ERCC-Mix2,UHR_Rep1_ERCC-Mix1,UHR_Rep2_ERCC-Mix1,UHR_Rep3_ERCC-Mix1
MSTRG.607,3,0,0,0,0,0
MSTRG.595,45,40,30,0,0,8
MSTRG.595|CES5AP1,0,0,0,0,0,0
MSTRG.596,0,0,0,0,0,0
MSTRG.597,0,0,0,0,0,0
MSTRG.597|CCDC188BP,0,0,0,0,0,0
MSTRG.595|ZDHHC8BP,0,0,0,0,0,0
MSTRG.598,0,0,0,0,0,0
MSTRG.589|BCR,499,773,651,744,433,566
MSTRG.590|BCRP8,0,2,0,0,0,1
MSTRG.591|RN7SL263P,0,0,0,0,0,0
MSTRG.593,0,0,0,0,0,0
MSTRG.592|FBXW4P1,4,7,8,18,12,22
MSTRG.612|ZNF70,56,106,71,175,102,87
MSTRG.614|C22orf15,0,0,0,0,4,7
MSTRG.615|CHCHD10,98,118,82,107,84,102
MSTRG.616|MMP11,5,0,5,84,45,63
MSTRG.616,0,0,0,0,2,0
MSTRG.617|SMARCB1,200,218,175,540,383,448
MSTRG.618,0,0,0,0,3,0
MSTRG.619|DERL3,0,0,0,79,39,67
MSTRG.609|DRICH1,0,0,0,0,0,5
MSTRG.610,0,0,0,0,0,0
MSTRG.609|GUSBP11,323,357,341,394,246,291
MSTRG.609,0,0,0,0,2,0
MSTRG.611|RGL4,0,0,0,0,10,0
MSTRG.609|ASLP1,3,0,2,5,4,6
MSTRG.644|SUSD2,0,17,0,24,32,23
MSTRG.622,0,19,5,7,0,5
MSTRG.623|SLC2A11,132,146,121,81,105,80
MSTRG.623,0,0,0,10,0,0
MSTRG.624,0,0,0,0,5,0
MSTRG.625|RN7SL268P,0,0,0,0,0,0
MSTRG.623|MIF,236,292,248,1104,698,1067
MSTRG.626|MIF-AS1,0,0,10,21,17,1
MSTRG.626,9,10,3,16,14,36
MSTRG.628|KLHL5P1,0,0,0,0,2,2
MSTRG.629,0,0,0,0,0,0
MSTRG.630,0,0,0,0,0,0
MSTRG.631|GSTT2B,12,11,11,22,12,20
MSTRG.632,0,0,0,1,1,0
MSTRG.633,0,0,3,0,0,0
MSTRG.635,0,2,0,3,3,6
MSTRG.626|DDT,64,69,76,217,163,220
MSTRG.636,0,0,2,0,0,0
MSTRG.626|GSTT3P,0,0,0,0,0,0
MSTRG.627,21,27,25,62,42,54
MSTRG.634|DDTL,29,34,29,75,52,85
MSTRG.637|GSTT2,6,5,4,6,5,6
MSTRG.645|GGT5,51,63,45,22,1,1
MSTRG.646|POM121L9P,3,5,8,1,6,0
MSTRG.647,0,0,0,3,0,0
MSTRG.647|GGTLC4P,0,0,0,0,0,0
